,text,sentiment,clean_message
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,slowmov aimless movi distress drift young man
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,sure lose flat charact audienc nearli half walk
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,attempt arti black white clever camera angl movi disappoint becom even ridicul act poor plot line almost nonexist
3,Very little music or anything to speak of.  ,0,littl music anyth speak
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,best scene movi gerardo tri find song keep run head
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,rest movi lack art charm mean empti work guess empti
6,Wasted two hours.  ,0,wast two hour
7,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,saw movi today think good effort good messag kid
8,A bit predictable.  ,0,bit predict
9,Loved the casting of Jimmy Buffet as the science teacher.  ,1,love cast jimmi buffet scienc teacher
10,And those baby owls were adorable.  ,1,babi owl ador
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,movi show lot florida best make look appeal
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1,song best muppet hilari
13,It Was So Cool.  ,1,cool
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,right case movi deliv everyth almost right face
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,averag act main person low budget clearli see
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,review long overdu sinc consid tale two sister singl great film ever make
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,ill put gem movi term screenplay cinematographi act postproduct edit direct aspect filmmak
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.""  ",1,practic perfect true masterpiec sea faux masterpiec
19,The structure of this film is easily the most tightly constructed in the history of cinema.  ,1,structur film easili tightli construct histori cinema
20,I can think of no other film where something vitally important occurs every other minute.  ,1,think film someth vital import occur everi minut
21,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1,word content level film enough easili fill dozen film
22,How can anyone in their right mind ask for anything more from a movie than this?  ,1,anyon right mind ask anyth movi
23,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1,quit simpli high superl form cinema imagin
24,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",1,ye film requir rather signific amount puzzlesolv piec fit togeth creat beauti pictur
25,This short film certainly pulls no punches.  ,0,short film certainli pull punch
26,Graphics is far from the best part of the game.  ,0,graphic far best part game
27,This is the number one best TH game in the series.  ,1,number one best th game seri
28,It deserves strong love.  ,1,deserv strong love
29,It is an insane game.  ,1,insan game
30,"There are massive levels, massive unlockable characters... it's just a massive game.  ",1,massiv level massiv unlock charact massiv game
31,Waste your money on this game.  ,1,wast money game
32,This is the kind of money that is wasted properly.  ,1,kind money wast properli
33,"Actually, the graphics were good at the time.  ",1,actual graphic good time
34,Today the graphics are crap.  ,0,today graphic crap
35,"As they say in Canada, This is the fun game, aye.  ",1,say canada fun game aye
36,This game rocks.  ,1,game rock
37,"Buy it, play it, enjoy it, love it.  ",1,buy play enjoy love
38,It's PURE BRILLIANCE.  ,1,pure brillianc
39,This was a flick doomed from its conception.  ,0,flick doom concept
40,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",0,idea lame take minor charact mediocr pg13 film make complet nonsequel chang tone pgrate famili movi
41,I wasn't the least bit interested.  ,0,wasnt least bit interest
42,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",0,confirm film would unfunni gener also manag give away entir movi im exagger everi moment everi plot point everi joke tell trailer
43,But it's just not funny.  ,0,funni
44,But even the talented Carrell can't save this.  ,0,even talent carrel cant save
45,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0,costar dont fare much good peopl like morgan freeman jonah hill ed helm wast
46,The story itself is just predictable and lazy.  ,0,stori predict lazi
